Block Number,time to mine block,transaction in block,block time,arrival rate
15917233,12,157,14:55:11,36.66666667
15917234,12,141,14:55:23,26.41666667
15917235,12,127,14:55:35,26.58333333
15917236,12,130,14:55:47,26.16666667
15917237,12,119,14:55:59,23.58333333
15917238,12,176,14:56:11,42.25
15917239,12,136,14:56:23,27.66666667
15917240,12,142,14:56:35,25.5
15917241,12,127,14:56:47,25.66666667
15917242,12,125,14:56:59,21
15917243,12,152,14:57:11,36.75
15917244,12,148,14:57:23,25.66666667
15917245,12,167,14:57:35,40.5
15917246,12,137,14:57:47,25.16666667
15917247,12,100,14:57:59,19.66666667
15917248,12,146,14:58:11,25.5
15917249,12,146,14:58:23,35.08333333
15917250,12,138,14:58:35,47.33333333
15917251,12,15,14:58:47,9.416666667
15917252,12,275,14:58:59,64.16666667
15917253,12,143,14:59:11,31.75
15917254,12,142,14:59:23,19.41666667
15917255,12,177,14:59:35,35.91666667
15917256,12,115,14:59:47,37.08333333
15917257,12,156,14:59:59,34.83333333
15917258,12,203,15:00:11,37.91666667
15917259,12,181,15:00:23,47.66666667
15917260,12,174,15:00:35,37.16666667
15917261,12,255,15:00:47,50.08333333
15917262,12,40,15:00:59,22.66666667
15917263,12,261,15:01:11,45.58333333
15917264,12,108,15:01:23,30.91666667
15917265,12,129,15:01:35,22.83333333
15917266,12,119,15:01:47,33.58333333
15917267,12,195,15:01:59,23.58333333
15917268,12,139,15:02:11,32.41666667
15917269,12,142,15:02:23,24.91666667
15917270,12,124,15:02:35,36.08333333
15917271,12,133,15:02:47,34.25
15917272,12,98,15:02:59,27.83333333
15917273,12,140,15:03:11,21
15917274,12,185,15:03:23,49.75
15917275,12,98,15:03:35,23.91666667
15917276,12,161,15:03:47,36.75
15917277,12,139,15:03:59,26.5
15917278,12,143,15:04:11,23.66666667
15917279,12,143,15:04:23,38.08333333
15917280,12,129,15:04:35,16.75
15917281,12,151,15:04:47,45.75
15917282,12,119,15:04:59,22.83333333
15917283,12,249,15:05:11,48.58333333
15917284,12,141,15:05:23,33.33333333
15917285,12,129,15:05:35,27.58333333
15917286,12,194,15:05:47,43.25
15917287,12,157,15:05:59,25.33333333
15917288,12,57,15:06:11,31.75
15917289,12,294,15:06:23,59.66666667
15917290,12,188,15:06:35,42.66666667
15917291,12,145,15:06:47,32.33333333
15917292,12,130,15:06:59,31.5
15917293,12,117,15:07:11,22.25
15917294,12,180,15:07:23,28.16666667
15917295,12,124,15:07:35,24.91666667
15917296,12,104,15:07:47,23.66666667
15917297,12,105,15:07:59,21.25
15917298,12,124,15:08:11,28.83333333
15917299,12,93,15:08:23,19.5
15917300,12,152,15:08:35,26.08333333
15917301,12,139,15:08:47,31.41666667
